,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_bu,param_reg_bi,param_reg_pu,param_reg_qi,param_n_epochs,param_biased
0,1.0136532325175842,1.0123275478633091,1.01316359288792,1.0110362227208511,1.0114248679405158,1.0123210927860362,0.0009938364465244996,16,14.974265480041504,0.7793591729000751,2.5024752616882324,0.1906874930556745,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 0.01, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.01,0.01,10,True
1,1.0084157581967235,1.0084745497995797,1.007802912019159,1.0062267336188495,1.0083771352138244,1.0078594177696272,0.0008514439351076432,12,15.212276124954224,0.5512123388332231,2.5531142234802244,0.10749995468821819,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 0.02, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.01,0.02,10,True
2,1.006587571006496,1.0062217412432277,1.0068154533548614,1.004258729118775,1.007652538881463,1.0063072067209649,0.0011269784585427984,9,15.370186567306519,0.7132802516824919,2.6291986465454102,0.20839048547846728,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 0.03, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.01,0.03,10,True
3,1.0053828025373326,1.006962221334823,1.0062514441520494,1.0041575088292538,1.0057904077242894,1.0057088769155496,0.0009364791670429552,4,15.183650684356689,0.3909731200855357,2.637501907348633,0.06825932405531815,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 0.04, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.01,0.04,10,True
4,1.0116671282071494,1.0110835651822823,1.0105301299974472,1.009554051792738,1.0116502375958578,1.010897022555095,0.000791627991182564,15,14.927711057662965,1.0856806275628326,2.484332323074341,0.12530693554467806,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.02, 'reg_qi': 0.01, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.02,0.01,10,True
5,1.0069243782097845,1.007651849351084,1.007406260687548,1.0049153781363225,1.0083961271866673,1.0070587987142812,0.0011724510198536354,11,14.634735155105592,0.4047384479869211,2.4193889617919924,0.06691422457052085,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.02, 'reg_qi': 0.02, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.02,0.02,10,True
6,1.0060053318799422,1.0064114649370886,1.0058039200271143,1.0046862944411823,1.006755663036293,1.0059325348643242,0.0007045381999853792,8,14.672312450408935,0.16657837831047073,2.5227664947509765,0.0752207382856571,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.02, 'reg_qi': 0.03, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.02,0.03,10,True
7,1.0059992717210384,1.0059731107322514,1.0060844611675643,1.0043345983384426,1.0072252020155685,1.0059233287949731,0.0009222957830117691,7,14.889339303970337,0.48233485781459773,2.5994356155395506,0.14549408663785482,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.02, 'reg_qi': 0.04, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.02,0.04,10,True
8,1.009972900146444,1.0106000236333732,1.009758980917578,1.0096259247104,1.0110108500588044,1.01019373589332,0.0005278134410248717,14,14.711853456497192,0.3042309548361314,2.4859843254089355,0.08408571542346781,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.03, 'reg_qi': 0.01, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.03,0.01,10,True
9,1.0065983603150614,1.0064688428376534,1.0072543926491044,1.0053069225116706,1.0072038099652445,1.0065664656557467,0.0007037681056617629,10,14.530768728256225,0.1504248849330074,2.497169923782349,0.12143792291056757,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.03, 'reg_qi': 0.02, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.03,0.02,10,True
10,1.0053208028496068,1.0057408537719013,1.0057413836242117,1.0044466604702846,1.0066673257470082,1.0055834052926025,0.0007191355313853501,3,14.501545619964599,0.44841801077454757,2.377757024765015,0.027813700916978774,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.03, 'reg_qi': 0.03, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.03,0.03,10,True
11,1.0060435646617705,1.0063131445061089,1.0065500538058845,1.0036481196195541,1.0066428461409964,1.005839545746863,0.0011152023313283144,6,14.070450448989869,0.11209329315192647,2.3911779880523683,0.025542803133712433,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.03, 'reg_qi': 0.04, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.03,0.04,10,True
12,1.008924312113007,1.0095166782523706,1.008296393364997,1.0073958878264528,1.0101143223877966,1.0088495187889248,0.0009454538216501115,13,14.064447402954102,0.1335620982284331,2.351982593536377,0.0471487265943009,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.04, 'reg_qi': 0.01, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.04,0.01,10,True
13,1.0063728978242592,1.0055952411497169,1.0069353076821514,1.0035649656301577,1.006403010689052,1.0057742845950675,0.001184462388781955,5,14.159576797485352,0.2382562909146811,2.376034164428711,0.032762669094159,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.04, 'reg_qi': 0.02, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.04,0.02,10,True
14,1.0055206724418955,1.0059384604364323,1.0057823367257812,1.0033915165392389,1.006143380573933,1.005355273343456,0.00100272638067831,1,14.054578018188476,0.08703621493178357,2.3517744541168213,0.05109926900784993,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.04, 'reg_qi': 0.03, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.04,0.03,10,True
15,1.0051214210330675,1.0055875812076265,1.0061317062190487,1.0040151663821197,1.0063710182465837,1.0054453786176891,0.0008364844805445272,2,14.766609287261963,1.598044845646581,2.514400100708008,0.33397215291515375,"{'n_factors': 25, 'lr_all': 0.007, 'reg_bu': 0.02, 'reg_bi': 0.02, 'reg_pu': 0.04, 'reg_qi': 0.04, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,0.02,0.04,0.04,10,True
